Time(s),Acceleration(m_s2),1_AT3_Floor/A/C3/MeshedPart-PART-1-1 at Node 118183
0.194,-211.036,
0.195001,-411.045,
0.196,-110.584,
0.197,120.263,
0.198001,-101.084,
0.199,8.94493,
0.200001,22.8437,
0.201,-127.853,
0.202,-46.4646,
0.203001,49.6227,
0.204,83.3366,
0.205001,172.423,
0.206,-37.3532,
0.207001,235.76,
0.208001,-139.855,
0.209,-129.576,
0.210001,-7.75574,
0.211,-229.877,
0.212001,-161.579,
0.213001,-278.576,
0.214,-142.343,
0.215001,234.872,
0.216,-6.64011,
0.217001,201.883,
0.218001,43.5278,
0.219,196.711,
0.220001,-313.651,
0.221,2.90594,
0.222001,-417.841,
0.223,-272.144,
0.224001,-54.6865,
0.225001,82.9688,
0.226,-117.171,
0.227,19.312,
0.228,169.61,
0.229001,-175.412,
0.230001,6.82002,
0.231,-251.947,
0.232,102.633,
0.233,29.5013,
0.234001,-247.153,
0.235001,176.899,
0.236,254.395,
0.237,-242.135,
0.238,294.308,
0.239001,-51.6812,
0.240001,-252.211,
0.241001,71.0052,
0.242,-41.601,
0.243,-66.7202,
0.244001,-7.91505,
0.245001,59.878,
0.246001,48.4697,
0.247,-43.7081,
0.248,270.719,
0.249001,64.5142,
0.250001,-116.371,
0.251,17.1841,
0.252,-126.288,
0.253001,-23.267,
0.254001,-274.171,
0.255,-37.7794,
0.256001,82.6428,
0.257001,-208.012,
0.258,412.314,
0.259,-205.551,
0.260001,243.574,
0.261,-140.92,
0.262,-0.534086,
0.263001,-163.663,
0.264001,-138.297,
0.265,-42.2117,
0.266001,43.6558,
0.267001,-359.409,
0.268,342.299,
0.269,203.827,
0.270001,304.49,
0.271,-35.0106,
0.272,-385.322,
0.273001,141.572,
0.274001,147.284,
0.275,-85.9386,
0.276001,254.951,
0.277001,106.079,
0.278,254.455,
0.279,178.587,
0.280001,-26.5292,
0.281,56.5776,
0.282,-268.957,
0.283001,-94.0804,
0.284001,-323.021,
0.285,-311.183,
0.286001,8.95654,
0.287001,-1.34351,
0.288,135.575,
0.289001,75.2678,
0.290001,135.231,
0.291,104.788,
0.292,-4.67853,
0.293001,-19.634,
0.294,-263.563,
0.295,-65.2352,
0.296001,327.683,
0.297001,-30.8954,
0.298,15.2885,
0.299001,-13.0361,
0.3,268.341,
Time(s),Acceleration(m_s2),4_AT3_Floor/A/C3/MeshedPart-PART-1-1 in Element 98556
0,-9.18376,
0.00100005,-9.8651,
0.00200025,-9.5698,
0.00300078,-9.56994,
0.00400105,-9.78183,
0.00500028,-76.0868,
0.00600095,-165.549,
0.0070008,47.796,
0.00800043,-246.328,
0.0090004,-348.35,
0.0100004,-60.6756,
0.0110003,-281.22,
0.0120011,-207.25,
0.0130005,159.145,
0.0140007,-186.459,
0.0150003,441.23,
0.0160008,124.17,
0.0170005,140.168,
0.0180004,163.306,
0.0190001,167.288,
0.0200009,211.268,
0.0210007,356.795,
0.0220006,92.5356,
0.0230003,127.935,
0.0240005,114.917,
0.0250008,98.7202,
0.026001,-192.62,
0.0270002,-22.7566,
0.0280004,35.0223,
0.0290007,-58.7778,
0.0300009,-15.3532,
0.031,47.1515,
0.0320003,87.2851,
0.0330005,111.849,
0.034001,335.569,
0.0350001,150.06,
0.0360003,167.262,
0.0370006,48.9419,
0.0380008,-10.7138,
0.0390011,111.262,
0.0400002,-29.07,
0.0410005,34.1107,
0.0420007,-137.888,
0.0430009,287.347,
0.0440011,-87.7537,
0.0450002,204.28,
0.0460005,99.5705,
0.0470007,-33.6389,
0.048001,113.889,
0.049001,-131.937,
0.0500001,188.781,
0.0510002,132.964,
0.0520003,109.172,
0.0530004,264.55,
0.0540006,-211.77,
0.0550007,356.783,
0.0560008,8.88949,
0.057001,-63.7459,
0.058,-47.4978,
0.0590002,52.8883,
0.0600003,-20.417,
0.0610004,170.227,
0.0620005,502.563,
0.0630005,789.309,
0.0640005,-149.345,
0.0650009,1069.32,
0.0660003,-471.419,
0.0670007,-41.0962,
0.068001,-34.4609,
0.0690004,-238.528,
0.0700008,402.617,
0.0710002,52.3116,
0.0720006,300.966,
0.073,-81.3745,
0.0740004,-242.529,
0.0750009,-633.909,
0.0760003,205.824,
0.0770007,-637.373,
0.0780001,-4.93331,
0.0790004,-38.0591,
0.0800007,123.133,
0.081,360.495,
0.0820004,314.816,
0.0830007,54.0275,
0.084001,624.677,
0.0850003,-202.277,
0.0860006,380.779,
0.0870009,-145.507,
0.0880006,288.509,
0.089,-159.596,
0.0900003,485.814,
0.0910006,388.993,
0.092001,472.277,
0.093,-55.6815,
0.0940003,722.177,
0.0950007,-88.8717,
0.096001,547.39,
0.0970003,-356.897,
0.0980006,403.688,
0.0990009,174.277,
0.1,75.9831,
0.101001,-21.0244,
0.102,392.291,
0.103001,166.438,
0.104001,-59.2657,
0.105,414.962,
0.106001,-210.629,
0.107001,427.419,
0.108,-110.355,
0.109001,14.6066,
0.110001,11.6619,
0.111,40.4192,
0.112,295.003,
0.113001,-134.591,
0.114,-47.4887,
0.115,-225.038,
0.116001,94.0728,
0.117001,-144.319,
0.118,-137.684,
0.119001,114.563,
0.120001,-117.083,
0.121,120.973,
0.122001,-215.871,
0.123001,293.563,
0.124,381.297,
0.125,-37.6454,
0.126001,-211.666,
0.127,220.805,
0.128001,-51.4672,
0.129,-16.7505,
0.130001,419.799,
0.131001,21.8003,
0.132,-447.124,
0.133001,182.277,
0.134,-103.108,
0.135001,693.715,
0.136001,-460.054,
0.137,144.35,
0.138001,223.952,
0.139,16.4225,
0.140001,-456.032,
0.141001,232.228,
0.142,101.273,
0.143,-85.732,
0.144001,-150.967,
0.145001,-153.203,
0.146001,219.655,
0.147001,180.367,
0.148001,-306.592,
0.149001,-102.841,
0.150001,-132.172,
0.151001,-141.258,
0.152,-54.8149,
0.153,-34.9254,
0.154,207.857,
0.155001,-186.998,
0.156001,-1.97891,
0.157,-197.076,
0.158,-534.411,
0.159,251.493,
0.160001,-215.005,
0.161001,-203.524,
0.162001,64.4599,
0.163,-35.8487,
0.164,-3.73173,
0.165001,-260.794,
0.166001,-211.939,
0.167001,-77.7579,
0.168,-30.9352,
0.169,-307.613,
0.170001,140.961,
0.171001,150.743,
0.172001,40.058,
0.173,-107.492,
0.174,-17.9374,
0.175001,-54.6097,
0.176001,90.1468,
0.177001,-220.388,
0.178,-278.291,
0.179,-209.695,
0.180001,106.848,
0.181001,5.32555,
0.182001,-49.0089,
0.183,-144.373,
0.184,42.8117,
0.185,-213.544,
0.186001,85.5437,
0.187001,-237.259,
0.188,-335.266,
0.189,-40.7899,
0.19,-358.809,
0.191001,271.189,
0.192,-213.992,
0.193001,43.5927,
0.194,120.947,
0.195001,-244.938,
0.196,-54.4543,
0.197,-27.8422,
0.198001,-133.258,
0.199,63.4834,
0.200001,247.335,
0.201,30.5851,
0.202,127.17,
0.203001,179.846,
0.204,134.974,
0.205001,290.048,
0.206,94.31,
0.207001,123.228,
0.208001,247.298,
0.209,-86.3473,
0.210001,250.646,
0.211,324.226,
0.212001,-98.3998,
0.213001,196.05,
0.214,-10.9661,
0.215001,86.9439,
0.216,-32.8324,
0.217001,136.547,
0.218001,58.3977,
0.219,-174.924,
0.220001,85.6524,
0.221,161.34,
0.222001,-34.1554,
0.223,87.525,
0.224001,-69.9236,
0.225001,193.911,
0.226,-156.738,
0.227,148.13,
0.228,-107.323,
0.229001,-18.0323,
0.230001,-151.208,
0.231,175.25,
0.232,-19.3366,
0.233,-1.5781,
0.234001,47.1324,
0.235001,-104.535,
0.236,185.549,
0.237,-645.328,
0.238,29.5806,
0.239001,-259.073,
0.240001,-91.4843,
0.241001,68.0908,
0.242,-94.3342,
0.243,29.323,
0.244001,154.288,
0.245001,-39.8193,
0.246001,233.013,
0.247,-120.969,
0.248,-97.3525,
0.249001,106.401,
0.250001,-161.104,
0.251,-13.2924,
0.252,19.4421,
0.253001,252.453,
0.254001,-176.682,
0.255,39.0173,
0.256001,-45.7851,
0.257001,-221.789,
0.258,-152.005,
0.259,-136.79,
0.260001,-229.646,
0.261,-110.724,
0.262,351.784,
0.263001,375.897,
0.264001,-77.8559,
0.265,383.966,
0.266001,-309.897,
0.267001,-207.53,
0.268,-264.467,
0.269,-286.048,
0.270001,-95.6834,
0.271,-106.811,
0.272,-62.6153,
0.273001,-0.395717,
0.274001,-337.997,
0.275,272.603,
0.276001,51.4757,
0.277001,-239.66,
0.278,-202.151,
0.279,-53.1532,
0.280001,227.604,
0.281,10.7277,
0.282,111.944,
0.283001,-249.8,
0.284001,297.385,
0.285,14.0428,
0.286001,-172.801,
0.287001,-205.25,
0.288,-177.631,
0.289001,87.2629,
0.290001,-116.117,
0.291,-126.369,
0.292,-153.308,
0.293001,6.54238,
0.294,270.896,
0.295,26.7355,
0.296001,90.1042,
0.297001,61.1639,
0.298,43.8436,
0.299001,-115.491,
0.3,-230.739,
Time(s),Acceleration(m_s2),5_AT3_Floor/A/C3/MeshedPart-PART-1-1 at Node 118127
0,-9.18376,
0.00100005,-9.8651,
0.00200025,-10.7601,
0.00300078,-8.96689,
0.00400105,-11.0167,
0.00500028,-26.288,
0.00600095,-92.8843,
0.0070008,25.4117,
0.00800043,-91.1313,
0.0090004,-296.178,
0.0100004,-133.192,
0.0110003,-518.751,
0.0120011,-370.662,
0.0130005,-27.1642,
0.0140007,-207.676,
0.0150003,80.6171,
0.0160008,7.01015,
0.0170005,210.408,
0.0180004,577.795,
0.0190001,355.469,
0.0200009,645.005,
0.0210007,217.744,
0.0220006,383.988,
0.0230003,14.8965,
0.0240005,37.6796,
0.0250008,-177.007,
0.026001,-92.0087,
0.0270002,-214.687,
0.0280004,-213.811,
0.0290007,-70.1019,
0.0300009,172.627,
0.031,-168.245,
0.0320003,290.924,
0.0330005,240.975,
0.034001,488.965,
0.0350001,55.2057,
0.0360003,680.435,
0.0370006,244.043,
0.0380008,360.15,
0.0390011,-268.138,
0.0400002,30.6696,
0.0410005,-352.703,
0.0420007,119.174,
0.0430009,-335.177,
0.0440011,-110.412,
0.0450002,-221.262,
0.0460005,284.353,
0.0470007,35.4895,
0.048001,453.921,
0.049001,-30.3056,
0.0500001,107.905,
