Time(s),Acceleration(m_s2),1_XY-Field A.1/A/C3/MeshedPart-PART-1-1 at Node 157686
0.257001,260.003,
0.258,39.272,
0.259001,-137.117,
0.26,-204.633,
0.261,-210.771,
0.262,54.1533,
0.263,-196.013,
0.264001,200.14,
0.265,-71.1029,
0.266001,-335.337,
0.267,79.578,
0.268001,268.078,
0.269,-303.285,
0.270001,-77.439,
0.271,-94.1203,
0.272001,-553.472,
0.273,362.719,
0.274001,180.099,
0.275,403.49,
0.276001,-120.496,
0.277,-28.664,
0.278001,-44.4385,
0.279,0,
0.280001,-201.557,
0.281,-195.085,
0.282001,101.336,
0.283,100.181,
0.284001,-267.645,
0.285,96.0158,
0.286001,46.7722,
0.287,214.75,
0.288,233.449,
0.289,-17.7759,
0.29,-157.238,
0.291001,-24.6676,
0.292,3.61766,
0.293001,-189.907,
0.294,164.553,
0.295001,-110.702,
0.296,-188.012,
0.297001,-270.843,
0.298,80.7338,
0.299001,-378.046,
0.3,209.36,
Time(s),Acceleration(m_s2),4_XY-Field A.1/A/C3/MeshedPart-PART-1-1 at Node 157673
0,-8.80593,
0.00100075,-9.9067,
0.00200062,-9.90669,
0.00300037,-11.0074,
0.00400011,-8.80591,
0.00500074,-298.319,
0.00600049,258.703,
0.00700023,-587.914,
0.00800076,-25.3243,
0.00900087,-90.2896,
0.0100001,-434.923,
0.0110002,-66.0672,
0.0120003,-4.4044,
0.0130005,56.1421,
0.0140008,169.522,
0.0150001,362.143,
0.016,254.242,
0.0170001,250.879,
0.0180002,327.968,
0.0190003,210.229,
0.0200005,409.418,
0.0210006,-84.7565,
0.0220007,444.747,
0.0230008,337.978,
0.0240009,103.495,
0.0250001,156.351,
0.0260002,-297.856,
0.0270003,-72.6709,
0.0280004,-251.069,
0.0290005,-106.813,
0.0300006,-255.439,
0.0310007,120.022,
0.0320008,-15.4153,
0.0330001,134.315,
0.0340002,155.23,
0.0350003,-105.685,
0.0360004,532.798,
0.0370005,-282.86,
0.0380006,538.784,
0.0390007,14.8593,
0.0400008,177.75,
0.041,457.823,
0.0420001,-60.5337,
0.0430002,298.835,
0.0440003,69.8964,
0.0450004,468.88,
0.0460006,25.3181,
0.0470007,35.7723,
0.0480008,344.566,
0.0490009,321.413,
0.0500001,-168.406,
0.0510002,310.395,
0.0520003,257.519,
0.0530004,-13.7587,
0.0540005,300.483,
0.0550006,-151.352,
0.0560007,-332.424,
0.0570008,-83.6618,
0.0580001,292.311,
0.0590002,151.953,
0.0600003,-115.605,
0.0610004,861.123,
0.0620005,681.032,
0.0630006,514.557,
0.0640007,-252.519,
0.0650008,242.085,
0.066,72.4111,
0.0670001,-49.3281,
0.0680002,58.1238,
0.0690003,173.602,
0.0700004,-511.778,
0.0710006,69.212,
0.0720007,-29.51,
0.0730008,21.5134,
0.0740009,152.705,
0.0750001,-326.829,
0.0760002,91.0115,
0.0770003,229.431,
0.0780004,-312.397,
0.0790005,647.304,
0.0800006,292.487,
0.0810007,-216.101,
0.0820008,24.2568,
0.0830001,456.108,
0.0840002,30.0441,
0.0850003,-107.769,
0.0860004,269.284,
0.0870005,-235.398,
0.0880006,194.073,
0.0890007,-49.3463,
0.0900008,433.106,
0.091,384.278,
0.0920001,94.5546,
0.0930002,94.8498,
0.0940003,383.246,
0.0950004,-3.44672,
0.0960006,116.499,
0.0970007,610.446,
0.0980008,1093.06,
0.0990009,7.68495,
0.1,275.303,
0.101,-56.3741,
0.102,25.9117,
0.103,-90.8263,
0.104001,55.4066,
0.105001,-298.757,
0.106001,145.971,
0.107001,-22.3281,
0.108,-475.487,
0.109,230.733,
0.11,-136.74,
0.111,-14.7818,
0.112,-120.459,
0.113001,231.234,
0.114001,189.566,
0.115001,563.198,
0.116,108.585,
0.117,244.986,
0.118,-193.043,
0.119,-11.0229,
0.12,565.698,
0.121001,-345.696,
0.122001,334.24,
0.123001,-169.173,
0.124001,375.708,
0.125,224.815,
0.126001,363.988,
0.127,-25.0762,
0.128001,281.62,
0.129,271.176,
0.130001,-413.879,
0.131,90.3772,
0.132,123.993,
0.133001,163.126,
0.134,306.148,
0.135001,-25.6243,
0.136,88.1768,
0.137001,-165.857,
0.138,-329.83,
0.139001,-28.9339,
0.14,-752.914,
0.141,62.8352,
0.142001,-508.77,
0.143,6.61416,
0.144001,-117.41,
0.145,-392.984,
0.146001,-195.402,
0.147,-607.911,
0.148,324.369,
0.149001,-233.141,
0.15,-237.82,
0.151001,517.933,
0.152,-210.971,
0.153001,657.368,
0.154,12.6763,
0.155001,135.835,
0.156,290.991,
0.157,-39.1279,
0.158001,65.8621,
0.159,-188.503,
0.160001,139.182,
0.161,12.9529,
0.162001,72.2008,
0.163,-140.82,
0.164,-20.117,
0.165,-264.826,
0.166,89.9767,
0.167001,-130.609,
0.168,157.626,
0.169001,-323.924,
0.17,78.9521,
0.171001,-285.242,
0.172,445.805,
0.173,-444.96,
0.174001,-91.7775,
0.175,-149.376,
0.176001,-438.888,
0.177,100.874,
0.178001,-464.189,
0.179,286.286,
0.180001,129.814,
0.181,-309.979,
0.182,252.467,
0.183001,-11.6438,
0.184,-58.4237,
0.185001,783.906,
0.186,-9.36965,
0.187001,284.125,
0.188,-94.9396,
0.189,176.096,
0.190001,-310.89,
0.191,116.862,
0.192001,15.434,
0.193,-74.5478,
0.194001,-129.673,
0.195,166.67,
0.196001,-496.318,
0.197,184.923,
0.198,-29.3525,
0.199001,-46.3713,
0.2,-426.906,
0.201001,18.6356,
0.202,-1.89462,
0.203001,-63.6911,
0.204,-189.074,
0.205,24.9404,
0.206001,-67.3094,
0.207,170.303,
0.208001,-320.342,
0.209,-139.193,
0.210001,53.808,
0.211,243.431,
0.212001,251.663,
0.213,-546.902,
0.214,179.825,
0.215001,-213.743,
0.216,316.205,
0.217001,-76.0513,
0.218,219.333,
0.219001,107.503,
0.22,-85.0046,
0.221,-114.975,
0.222001,-89.1432,
0.223,358.98,
0.224001,305.534,
0.225,85.6981,
0.226001,129.117,
0.227,-121.396,
0.228001,-241.053,
0.229,-92.039,
0.23,91.9715,
0.231001,-236.987,
0.232,-205.149,
0.233001,331.22,
0.234,-444.389,
0.235001,34.5801,
0.236,4.68481,
0.237001,190.682,
0.238,323.738,
0.239,15.8459,
0.240001,-119.127,
0.241,384.295,
0.242001,-69.1035,
0.243,460.178,
0.244001,-610.823,
0.245,237.931,
0.246,-401.719,
0.247001,-66.7825,
0.248,-535.744,
0.249001,176.442,
0.25,104.883,
0.251001,-85.077,
0.252,31.7589,
0.253001,115.699,
0.254,337.148,
0.255001,-65.3805,
0.256,-289.504,
0.257001,510.361,
0.258,-262.847,
0.259001,93.2257,
0.26,-179.484,
0.261,-193.683,
0.262,-132.627,
0.263,279.448,
0.264001,-323.738,
0.265,-116.093,
0.266001,-572.581,
0.267,221.561,
0.268001,44.9897,
0.269,206.131,
0.270001,45.0019,
0.271,-271.1,
0.272001,20.2824,
0.273,-59.0177,
0.274001,10.1883,
0.275,127.727,
0.276001,-221.115,
0.277,-128.609,
0.278001,-1.20569,
0.279,-147.75,
0.280001,-66.0719,
0.281,411.185,
0.282001,-223.481,
0.283,-52.9842,
0.284001,347.764,
0.285,-147.555,
0.286001,241.493,
0.287,-95.23,
0.288,426.142,
0.289,188.301,
0.29,-0.999102,
0.291001,276.856,
0.292,-265.709,
0.293001,9.71584,
0.294,-12.2657,
0.295001,-52.5086,
0.296,-229.338,
0.297001,-219.063,
0.298,-294.442,
0.299001,216.476,
0.3,227.681,
Time(s),Acceleration(m_s2),5_XY-Field A.1/A/C3/MeshedPart-PART-1-1 at Node 157630
0,-8.80593,
0.00100075,-9.9067,
0.00200062,-9.90669,
0.00300037,-9.90668,
0.00400011,-11.0074,
0.00500074,-117.787,
0.00600049,26.4207,
0.00700023,-231.202,
0.00800076,-224.616,
0.00900087,-142.041,
0.0100001,-523.008,
0.0110002,-92.4941,
0.0120003,-213.613,
0.0130005,-253.19,
0.0140008,189.336,
0.0150001,-19.8133,
0.016,486.472,
0.0170001,775.744,
0.0180002,402.806,
0.0190003,695.628,
0.0200005,278.449,
0.0210006,-112.275,
0.0220007,473.369,
0.0230008,-265.318,
0.0240009,-95.7878,
0.0250001,57.2552,
0.0260002,-242.249,
0.0270003,343.535,
0.0280004,-122.231,
0.0290005,125.532,
0.0300006,-246.631,
0.0310007,28.6292,
0.0320008,-95.7951,
0.0330001,-161.838,
0.0340002,9.90827,
0.0350003,417.234,
0.0360004,-155.216,
0.0370005,546.459,
0.0380006,195.922,
0.0390007,348.919,
0.0400008,195.36,
0.041,77.0376,
0.0420001,-0.550306,
0.0430002,163.451,
0.0440003,400.666,
0.0450004,108.965,
0.0460006,28.0701,
0.0470007,335.159,
0.0480008,50.639,
0.0490009,100.717,
0.0500001,1.10069,
0.0510002,-77.5988,
0.0520003,223.403,
0.0530004,292.235,
0.0540005,210.228,
0.0550006,46.2312,
0.0560007,183.824,
