Time(s),Acceleration(m_s2),1_AT3_Floor/A/MeshedPart-PART-1-1 at Node 27292
0.0700002,787.006,
0.071001,751.35,
0.0720003,402.047,
0.0730012,395.164,
0.0740005,430.127,
0.0750013,513.808,
0.0760007,429.507,
0.0770015,485.039,
0.0780008,728.159,
0.0790002,510.938,
0.080001,316.39,
0.0810003,1145.59,
0.0820012,495.419,
0.0830005,821.056,
0.0840013,300.161,
0.0850007,766.17,
0.0860015,311.654,
0.0870012,338.922,
0.0880013,735.763,
0.0890005,902.887,
0.0900002,752.637,
0.0910015,868.719,
0.0920012,582.411,
0.093001,436.414,
0.0940007,990,
0.0950005,1473.73,
0.0960002,1003.26,
0.0970015,825.668,
0.0980012,826.732,
0.0990009,640.445,
0.100001,1265.93,
0.101,592.049,
0.102,733.479,
0.103001,575.107,
0.104001,743.411,
0.105001,978.314,
0.106001,826.412,
0.107,703.733,
0.108,1104.21,
0.109001,951.96,
0.110001,1181.23,
0.111001,1224.28,
0.112001,1117.98,
0.113,625.41,
0.114,598.698,
0.115001,481.273,
0.116001,516.586,
0.117001,439.183,
0.118,629.667,
0.119001,469.786,
0.120001,655.098,
0.121001,591.988,
0.122001,841.423,
0.123,756.772,
0.124001,212.717,
0.125,716.869,
0.126001,722.04,
0.127,809.327,
0.128001,793.635,
0.129,526.487,
0.130001,454.868,
0.131001,500.006,
0.132001,562.401,
0.133001,391.207,
0.134,838.35,
0.135001,609.82,
0.136,474.92,
0.137001,282.131,
0.138,457.133,
0.139001,496.773,
0.140001,580.319,
0.141001,560.626,
0.142001,154.728,
0.143,606.755,
0.144001,379.617,
0.145,464.195,
0.146001,318.824,
0.147,549.196,
0.148001,649.021,
0.149001,328.626,
0.150001,656.477,
0.151001,725.291,
0.152,511.139,
0.153001,691.179,
0.154,504.769,
0.155001,454.872,
0.156,129.112,
0.157001,283.473,
0.158001,520.19,
0.159001,161.963,
0.160001,156.926,
0.161,349.688,
0.162001,540.924,
0.163,736.326,
0.164001,236.114,
0.165,386.194,
0.166001,216.662,
0.167001,369.265,
0.168001,389.568,
0.169001,200.588,
0.17,648.849,
0.171001,420.642,
0.172,333.057,
0.173001,375.747,
0.174,489.442,
0.175001,599.593,
0.176001,147.613,
0.177001,430.766,
0.178001,420.003,
0.179,427.772,
0.180001,290.54,
0.181,413.317,
0.182001,342.107,
0.183,508.697,
0.184001,169.509,
0.185001,152.092,
0.186001,432.339,
0.187001,265.115,
0.188,269.592,
0.189001,170.669,
0.19,211.624,
0.191001,459.625,
0.192,564.655,
0.193001,222.398,
0.194001,170.998,
0.195001,351.503,
0.196001,387.595,
0.197,167.333,
0.198001,430.656,
0.199,221.451,
0.200001,307.205,
0.201,171.631,
0.202001,252.662,
0.203001,228.994,
0.204001,470.291,
0.205001,217.239,
0.206,238.087,
0.207001,547.955,
0.208,423.347,
0.209001,498.048,
0.21,349.964,
0.211001,298.366,
0.212001,151.462,
0.213001,136.532,
0.214001,266.425,
0.215,447.337,
0.216001,529.678,
0.217,403.008,
0.218001,414.651,
0.219,516.851,
0.220001,452.547,
0.221001,271.109,
0.222001,215.537,
0.223001,293.739,
0.224,237.253,
0.225001,197.548,
0.226,477.517,
0.227001,557.297,
0.228,402.585,
0.229001,252.606,
0.230001,427.401,
0.231001,522.587,
0.232001,311.488,
0.233,456.68,
0.234001,309.721,
0.235,283.806,
0.236001,440.919,
0.237,324.734,
0.238001,412.682,
0.239001,531.009,
0.240001,335.705,
0.241001,309.402,
0.242,353.468,
0.243001,526.436,
0.244,280.723,
0.245001,393.055,
0.246,280.381,
0.247001,464.213,
0.248001,226.853,
0.249001,233.747,
0.250001,478.52,
0.251001,235.494,
0.252001,289.498,
0.253001,393.753,
0.254001,317.199,
0.255001,457.387,
0.256001,159.412,
0.257,149.531,
0.258,295.285,
0.259,285.209,
0.26,159.589,
0.261,241.476,
0.262001,347.651,
0.263001,346.409,
0.264001,209.374,
0.265001,124.897,
0.266001,138.356,
0.267001,274.682,
0.268001,395.06,
0.269001,325.589,
0.270001,203.124,
0.271001,167.451,
0.272,490.339,
0.273,156.834,
0.274,440.645,
0.275,374.901,
0.276,275.076,
0.277001,278.656,
0.278001,410.141,
0.279001,358.333,
0.280001,329.143,
0.281001,271.46,
0.282001,604.87,
0.283001,256.264,
0.284001,175.335,
0.285001,404.777,
0.286,295.34,
0.287,309.049,
0.288,226.771,
0.289,170.169,
0.29,332.525,
0.291001,362.313,
0.292001,471.643,
0.293001,390.115,
0.294001,415.754,
0.295001,215.025,
0.296001,602.236,
0.297001,413.47,
0.298001,505.746,
0.299001,200.516,
0.3,366.852,
Time(s),Acceleration(m_s2),5_AT3_Floor/A/MeshedPart-PART-1-1 in Element 24237
0,10.3553,
0.00100038,9.72745,
0.00200076,9.73746,
0.00300121,10.1745,
0.00400014,9.96266,
0.00500043,153.672,
0.00600064,90.1389,
0.00700042,191.397,
0.00800017,153.439,
0.00900046,296.236,
0.0100007,368.828,
0.0110007,330.224,
0.0120009,284.632,
0.0130012,164.972,
0.0140004,319.419,
0.0150012,358.909,
0.0160003,388.993,
0.0170002,474.354,
0.0180002,209.567,
0.0190002,259.266,
0.0200014,229.386,
0.0210003,148.554,
0.0220008,192.421,
0.0230011,225.134,
0.0240004,370.619,
0.0250013,438.079,
0.0260002,236.795,
