Time(s),Acceleration(m_s2),1_XY-Field A.1/A/C3/MeshedPart-PART-1-1 in Element 103580
0.195001,618.626,
0.196001,-546.657,
0.197,-358.054,
0.198,-199.36,
0.199,-139.092,
0.2,432.247,
0.201001,-19.506,
0.202001,124.895,
0.203001,309.629,
0.204001,-40.629,
0.205001,38.8744,
0.206,32.6365,
0.207,205.079,
0.208,43.4397,
0.209,519.63,
0.21,-497.312,
0.211,786.778,
0.212001,-149.519,
0.213001,-75.3555,
0.214001,184.774,
0.215001,-324.561,
0.216001,-221.729,
0.217001,-4.85045,
0.218,-230.349,
0.219,399.721,
0.22,147.368,
0.221,-445.491,
0.222,439.206,
0.223001,-520.871,
0.224001,494.553,
0.225001,-63.086,
0.226001,452.466,
0.227001,-615.591,
0.228,360.933,
0.229,-283.295,
0.23,481.065,
0.231,-502.177,
0.232,36.7217,
0.233001,217.448,
0.234001,-505.301,
0.235001,11.8774,
0.236001,-194.899,
0.237,-293.656,
0.238,667.037,
0.239,-260.039,
0.24,157.219,
0.241,181.592,
0.242001,-174.573,
0.243001,140.128,
0.244001,-84.1393,
0.245001,-541.281,
0.246001,134.08,
0.247,-241.087,
0.248,-39.3944,
0.249,-193.694,
0.25,70.2359,
0.251,-100.331,
0.252001,-310.89,
0.253001,36.8365,
0.254001,-568.253,
0.255001,91.2803,
0.256,72.9428,
0.257,-455.428,
0.258,358.774,
0.259,-161.972,
0.26,166.769,
0.261001,-120.791,
0.262001,-58.8747,
0.263001,-27.0334,
0.264001,175.952,
0.265001,-814.743,
0.266,-258.634,
0.267,332.543,
0.268,15.5171,
0.269,462.164,
0.27,-622.776,
0.271001,356.643,
0.272001,-58.9387,
0.273001,259.424,
0.274001,-273.315,
0.275,-91.8837,
0.276,61.0315,
0.277,299.58,
0.278,-229.234,
0.279,259.336,
0.280001,46.9066,
0.281001,98.5218,
0.282001,-546.867,
0.283001,-521.111,
0.284001,-327.779,
0.285,-342.848,
0.286,247.857,
0.287,211.257,
0.288,-204.677,
0.289,81.593,
0.290001,389.55,
0.291001,92.5645,
0.292001,235.171,
0.293001,15.3956,
0.294,-394.616,
0.295,-112.23,
0.296,191.766,
0.297,237.824,
0.298,464.544,
0.299001,-94.2081,
0.3,144.235,
Time(s),Acceleration(m_s2),5_XY-Field A.1/A/C3/MeshedPart-PART-1-1 at Node 123728
0,-9.18151,
0.00100079,-9.89994,
0.00200062,-9.90006,
0.00300095,-9.72276,
